model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
MCI_AD_seed654,0.4,3,79,26,9,17,53,0.3291139240506329,0.8571428571428572,19.98111111111111,17.22,0.14285714285714285,14,2
MCI_AD_seed654,0.5,0,79,59,9,50,20,0.7468354430379747,0.9102564102564102,15.966666666666665,15.440000000000001,0.08974358974358974,78,7
MCI_AD_seed654,0.5,1,79,49,9,40,30,0.620253164556962,0.8780487804878049,15.966666666666665,15.440000000000001,0.12195121951219512,41,5
MCI_AD_seed654,0.5,2,79,32,6,26,47,0.4050632911392405,0.9130434782608696,17.883333333333336,18.265,0.08695652173913043,23,2
MCI_AD_seed654,0.5,3,79,21,3,18,58,0.26582278481012656,0.8571428571428572,13.560000000000002,12.880000000000003,0.14285714285714285,14,2
MCI_AD_seed654,0.6,0,79,56,5,51,23,0.7088607594936709,0.9487179487179487,13.664000000000001,12.68,0.05128205128205128,78,4
MCI_AD_seed654,0.6,1,79,44,5,39,35,0.5569620253164557,0.926829268292683,13.664000000000001,12.68,0.07317073170731707,41,3
MCI_AD_seed654,0.6,2,79,25,2,23,54,0.31645569620253167,0.9565217391304348,16.095000000000002,16.095000000000002,0.043478260869565216,23,1
MCI_AD_seed654,0.6,3,79,18,1,17,61,0.22784810126582278,0.9285714285714286,12.880000000000003,12.880000000000003,0.07142857142857142,14,1
MCI_AD_seed654,0.7,0,79,46,0,46,33,0.5822784810126582,0.9743589743589743,,,0.02564102564102564,78,2
MCI_AD_seed654,0.7,1,79,34,0,34,45,0.43037974683544306,0.975609756097561,,,0.024390243902439025,41,1
MCI_AD_seed654,0.7,2,79,21,0,21,58,0.26582278481012656,1.0,,,0.0,23,0
MCI_AD_seed654,0.7,3,79,15,0,15,64,0.189873417721519,1.0,,,0.0,14,0
MCI_AD_seed754,0.3,0,79,71,20,51,8,0.8987341772151899,0.7051282051282051,17.9255,14.850000000000001,0.2948717948717949,78,23
MCI_AD_seed754,0.3,1,79,56,20,36,23,0.7088607594936709,0.7317073170731707,17.9255,14.850000000000001,0.2682926829268293,41,11
MCI_AD_seed754,0.3,2,79,43,17,26,36,0.5443037974683544,0.782608695652174,18.94764705882353,17.22,0.21739130434782608,23,5
MCI_AD_seed754,0.3,3,79,27,10,17,52,0.34177215189873417,0.8571428571428572,20.138,19.155,0.14285714285714285,14,2
MCI_AD_seed754,0.4,0,79,67,14,53,12,0.8481012658227848,0.8205128205128205,17.446428571428573,13.635000000000002,0.1794871794871795,78,14
MCI_AD_seed754,0.4,1,79,52,14,38,27,0.6582278481012658,0.8292682926829268,17.446428571428573,13.635000000000002,0.17073170731707318,41,7
MCI_AD_seed754,0.4,2,79,37,12,25,42,0.46835443037974683,0.8695652173913043,18.607500000000005,15.935,0.13043478260869565,23,3
MCI_AD_seed754,0.4,3,79,25,7,18,54,0.31645569620253167,0.8571428571428572,20.171428571428574,17.22,0.14285714285714285,14,2
MCI_AD_seed754,0.5,0,79,59,9,50,20,0.7468354430379747,0.8974358974358975,14.32777777777778,12.62,0.10256410256410256,78,8
MCI_AD_seed754,0.5,1,79,49,9,40,30,0.620253164556962,0.8780487804878049,14.32777777777778,12.62,0.12195121951219512,41,5
MCI_AD_seed754,0.5,2,79,33,6,27,46,0.4177215189873418,0.8695652173913043,15.99,15.05,0.13043478260869565,23,3
MCI_AD_seed754,0.5,3,79,23,3,20,56,0.2911392405063291,0.8571428571428572,13.560000000000002,12.880000000000003,0.14285714285714285,14,2
MCI_AD_seed754,0.6,0,79,54,6,48,25,0.6835443037974683,0.9487179487179487,13.300000000000002,11.725000000000001,0.05128205128205128,78,4
MCI_AD_seed754,0.6,1,79,43,6,37,36,0.5443037974683544,0.975609756097561,13.300000000000002,11.725000000000001,0.024390243902439025,41,1
MCI_AD_seed754,0.6,2,79,25,3,22,54,0.31645569620253167,0.9565217391304348,15.59666666666667,12.880000000000003,0.043478260869565216,23,1
MCI_AD_seed754,0.6,3,79,18,2,16,61,0.22784810126582278,0.9285714285714286,11.730000000000002,11.730000000000002,0.07142857142857142,14,1
MCI_AD_seed754,0.7,0,79,50,1,49,29,0.6329113924050633,1.0,12.05,12.05,0.0,78,0
MCI_AD_seed754,0.7,1,79,36,1,35,43,0.45569620253164556,1.0,12.05,12.05,0.0,41,0
MCI_AD_seed754,0.7,2,79,22,0,22,57,0.27848101265822783,1.0,,,0.0,23,0
MCI_AD_seed754,0.7,3,79,17,0,17,62,0.21518987341772153,1.0,,,0.0,14,0
MCI_AD_seed759,0.3,0,79,70,20,50,9,0.8860759493670886,0.6923076923076923,17.286499999999997,14.21,0.3076923076923077,78,24
MCI_AD_seed759,0.3,1,79,55,20,35,24,0.6962025316455697,0.7073170731707317,17.286499999999997,14.21,0.2926829268292683,41,12
MCI_AD_seed759,0.3,2,79,41,16,25,38,0.5189873417721519,0.8260869565217391,18.528125000000003,15.739999999999998,0.17391304347826086,23,4
MCI_AD_seed759,0.3,3,79,27,10,17,52,0.34177215189873417,0.7857142857142857,20.138,19.155,0.21428571428571427,14,3
MCI_AD_seed759,0.4,0,79,65,14,51,14,0.8227848101265823,0.8461538461538461,17.705000000000002,14.8,0.15384615384615385,78,12
MCI_AD_seed759,0.4,1,79,52,14,38,27,0.6582278481012658,0.8292682926829268,17.705000000000002,14.8,0.17073170731707318,41,7
MCI_AD_seed759,0.4,2,79,35,11,24,44,0.4430379746835443,0.8260869565217391,19.224545454545453,17.22,0.17391304347826086,23,4
MCI_AD_seed759,0.4,3,79,24,7,17,55,0.3037974683544304,0.8571428571428572,20.575714285714287,17.22,0.14285714285714285,14,2
MCI_AD_seed759,0.5,0,79,58,8,50,21,0.7341772151898734,0.8846153846153846,13.96625,12.335,0.11538461538461539,78,9
MCI_AD_seed759,0.5,1,79,50,8,42,29,0.6329113924050633,0.8536585365853658,13.96625,12.335,0.14634146341463414,41,6
MCI_AD_seed759,0.5,2,79,30,5,25,49,0.379746835443038,0.8695652173913043,15.744,12.880000000000003,0.13043478260869565,23,3
MCI_AD_seed759,0.5,3,79,21,2,19,58,0.26582278481012656,0.8571428571428572,11.730000000000002,11.730000000000002,0.14285714285714285,14,2
MCI_AD_seed759,0.6,0,79,56,7,49,23,0.7088607594936709,0.9358974358974359,14.158571428571431,12.05,0.0641025641025641,78,5
MCI_AD_seed759,0.6,1,79,46,7,39,33,0.5822784810126582,0.9512195121951219,14.158571428571431,12.05,0.04878048780487805,41,2
MCI_AD_seed759,0.6,2,79,28,4,24,51,0.35443037974683544,1.0,16.525,16.095000000000002,0.0,23,0
